,estado,producto,cantidad
0,AGUASCALIENTES,ZWAN. PREMIUM,12005.0
0,BAJA CALIFORNIA,ZWAN. PREMIUM,37243.0
0,BAJA CALIFORNIA SUR,ZWAN. PREMIUM,27770.0
0,CAMPECHE,ZWAN. PREMIUM,12960.0
0,CHIAPAS,ZWAN. PREMIUM,14452.0
0,CHIHUAHUA,ZWAN. PREMIUM,15982.0
0,COAHUILA DE ZARAGOZA,ZYPREXA,28876.0
0,COLIMA,ZYPREXA,17193.0
0,DISTRITO FEDERAL,ZYPREXA,287463.0
0,DURANGO,ZYPREXA,9696.0
0,GUANAJUATO,ZYPREXA,49441.0
0,GUERRERO,ZWAN. PREMIUM,8932.0
0,HIDALGO,ZYPREXA,18137.0
0,JALISCO,ZYPREXA,81718.0
0,MICHOACÁN DE OCAMPO,ZYPREXA,40144.0
0,MORELOS,ZWAN. PREMIUM,9632.0
0,MÉXICO,ZYPREXA,194939.0
0,NAYARIT,ZWAN. PREMIUM,8003.0
0,NUEVO LEÓN,ZYPREXA,50307.0
0,OAXACA,ZYPREXA,18078.0
0,PUEBLA,ZYPREXA,31597.0
0,QUERÉTARO,ZYPREXA,27868.0
0,QUINTANA ROO,ZYPREXA,34846.0
0,SAN LUIS POTOSÍ,ZWAN. PREMIUM,10164.0
0,SINALOA,ZYPREXA,33115.0
0,SONORA,ZYPREXA,34731.0
0,TABASCO,ZYPREXA,28754.0
0,TAMAULIPAS,ZWAN. PREMIUM,22457.0
0,TLAXCALA,ZYPREXA,43904.0
0,VERACRUZ DE IGNACIO DE LA LLAVE,ZYPREXA,14576.0
0,YUCATÁN,ZYPREXA,35991.0
0,ZACATECAS,ZYPREXA,20884.0
